TY1,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
TY2,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
TY3,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。
TY4,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
TY5,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。
TY6,ツュレンハルト領は、ヴュルテンベルク領に編入された。,ツュレンハルト領は、ヴュルテンベルク領に編入された。
TY7,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。
TY8,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。
TY9,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。
TY10,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。
TY11,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。
TY12,構造は、鋼製の単一アーチで、橋脚は、石積みである。,構造は、鋼製の単一アーチで、橋脚は、石積みである。
TY13,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。
TY14,クィーンズアベニューアルファに所属している。,クィーンズアベニューアルファに所属している。
TY15,一方で、漁業と商業で、リャネス港は繁栄していた。,一方で、漁業と商業で、リャネス港は繁栄していた。
TY16,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。
TY17,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。
TY18,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。
TY19,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。
TY20,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。
TY21,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。
TY22,このときに、浮遊大陸プルヴァマにある、中立国、ビュエルバが、ある情報筋から、バッシュ将軍の処刑と、前王女、アーシェの自害を発表。,このときに、浮遊大陸プルヴァマにある、中立国、ビュエルバが、ある情報筋から、バッシュ将軍の処刑と、前王女、アーシェの自害を発表。
TY23,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。
TY24,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。
TY25,その飄々とした人柄が、老若男女に慕われている。,その飄々とした人柄が、老若男女に慕われている。
TY26,現在、ニュージャージー州、ムーアズタウンに住んでいる。,現在、ニュージャージー州、ムーアズタウンに住んでいる。
TY27,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。
TY28,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻としてあたえられた。,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻としてあたえられた。
TY29,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。
TY30,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。
TY31,後者の代表が、ウェッジウッドの、ジャスパーウェアである。,後者の代表が、ウェッジウッドの、ジャスパーウェアである。
TY32,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。
TY33,芸能プロダクション、アミューズのグループ企業。,芸能プロダクション、アミューズのグループ企業。
TY34,長母音を省略して、エリュシオンとも表記される。,長母音を省略して、エリュシオンとも表記される。
TY35,森永のおいしい牛乳は、濃い青色に、牛乳瓶をあしらったデザインの、パック牛乳である。,森永のおいしい牛乳は、濃い青色に、牛乳瓶をあしらったデザインの、パック牛乳である。
TY36,番組冒頭を、東京ムービー製作のアニメーションで、表現する点も、共通していた。,番組冒頭を、東京ムービー製作のアニメーションで、表現する点も、共通していた。
TY37,コミューンは、セーヌ川と、エソンヌ川の、合流地点となっている。,コミューンは、セーヌ川と、エソンヌ川の、合流地点となっている。
TY38,同時に、福井ミラクルエレファンツに、コーチ兼任で、入団することが発表された。,同時に、福井ミラクルエレファンツに、コーチ兼任で、入団することが発表された。
TY39,夫である小室が、救急車を呼び、都内病院に、緊急搬送される。,夫である小室が、救急車を呼び、都内病院に、緊急搬送される。
TY40,ギレスピーは、マッギーを通じて、イネスと知り合った。,ギレスピーは、マッギーを通じて、イネスと知り合った。
TY41,フォンテーヌブロー様式では、寓意的な絵が、漆喰のモールドに使われている。,フォンテーヌブロー様式では、寓意的な絵が、漆喰のモールドに使われている。
TY42,祭神は、ヴィシュヌ派の聖人、スワーミーナーラーヤン。,祭神は、ヴィシュヌ派の聖人、スワーミーナーラーヤン。
TY43,ハーデースが、ペルセポネーに恋をしたのは、アプロディーテーの、策略であるとされている。,ハーデースが、ペルセポネーに恋をしたのは、アプロディーテーの、策略であるとされている。
TY44,クウェーンバーンチャーンは、小さなコミュニティーで、農業や、商業を中心に、成り立っていたと、考えられている。,クウェーンバーンチャーンは、小さなコミュニティーで、農業や、商業を中心に、成り立っていたと、考えられている。
TY45,ヴェーザー自転車道や、ミューレンルートに従った、サイクリングツアーは、ペータースハーゲンを、経由する。,ヴェーザー自転車道や、ミューレンルートに従った、サイクリングツアーは、ペータースハーゲンを、経由する。
TY46,フォーミュラカーは、通常、オープンホイールで、シングルシーターである。,フォーミュラカーは、通常、オープンホイールで、シングルシーターである。
TY47,同日朝に、大阪難波で、出発セレモニーが開催され、営業運転に、充当された。,同日朝に、大阪難波で、出発セレモニーが開催され、営業運転に、充当された。
TY48,そして、インデペンデント紙の、読者投票で選ぶ、プレミアリーグ最優秀ゴールキーパーに選ばれた。,そして、インデペンデント紙の、読者投票で選ぶ、プレミアリーグ最優秀ゴールキーパーに選ばれた。
TY49,プレイヤーキャラクターは、宮殿を占拠した、邪悪なクリーチャーに遭遇する。,プレイヤーキャラクターは、宮殿を占拠した、邪悪なクリーチャーに遭遇する。
TY50,フィールドマーケティングは、歴史的には、一方通行のコミュニケーションツールとして、考えられてきた。,フィールドマーケティングは、歴史的には、一方通行のコミュニケーションツールとして、考えられてきた。
TY51,デビュー後の数年間は、ベビーフェイスとして、本名で活動。,デビュー後の数年間は、ベビーフェイスとして、本名で活動。
TY52,学校や病院などの、給食業務で、栄養素を計算する上で、重要な資料のひとつである。,学校や病院などの、給食業務で、栄養素を計算する上で、重要な資料のひとつである。
TY53,当時、あやしいワールドに常駐していた擬古猫が、空白にて発表。,当時、あやしいワールドに常駐していた擬古猫が、空白にて発表。
TY54,裕福なニューヨーカー達は、グレーヴセンド、競馬場や、シープシェッドベイ、競馬場などに集い、海沿いの高級レストランや、ホテルを利用した。,裕福なニューヨーカー達は、グレーヴセンド、競馬場や、シープシェッドベイ、競馬場などに集い、海沿いの高級レストランや、ホテルを利用した。
TY55,ウォリアーズミックスマーシャルアーツアカデミー所属。,ウォリアーズミックスマーシャルアーツアカデミー所属。
TY56,ところが、エリュシクトーンは、ニュムペーの制止も聞かずに、デーメーテールの樫を、切り倒した。,ところが、エリュシクトーンは、ニュムペーの制止も聞かずに、デーメーテールの樫を、切り倒した。
TY57,このジェシー役でステイモスは、エミー賞にノミネートされたこともある。,このジェシー役でステイモスは、エミー賞にノミネートされたこともある。
TY58,スウェーデン移民の両親の許に、マサチューセッツ州、ケンブリッジにて生まれる。,スウェーデン移民の両親の許に、マサチューセッツ州、ケンブリッジにて生まれる。
TY59,球宴のファン投票でも、人気が偶像化していた、長嶋茂雄に肉薄する。,球宴のファン投票でも、人気が偶像化していた、長嶋茂雄に肉薄する。
TY60,母は、ピーターマリッツバーグの精神病院に入院しているときに、ベッシーを産む。,母は、ピーターマリッツバーグの精神病院に入院しているときに、ベッシーを産む。
TY61,ポイントガードから、スモールフォワードまでこなせる、総合力が高いユーティリティープレーヤーである。,ポイントガードから、スモールフォワードまでこなせる、総合力が高いユーティリティープレーヤーである。
TY62,グレッグは、ミシシッピ州、アバディーンにある、オッドフェローズ墓地に埋葬されることになった。,グレッグは、ミシシッピ州、アバディーンにある、オッドフェローズ墓地に埋葬されることになった。
TY63,大当り終了後は、グラディエーターチャンスに突入する。,大当り終了後は、グラディエーターチャンスに突入する。
TY64,この菌による病気は、灰色かび病と名づけられているものが多い。,この菌による病気は、灰色かび病と名づけられているものが多い。
TY65,レギュラーメンバーの顔写真をクリックした後に、ムービープレイヤー風に再生されるという、特異な形式となっている。,レギュラーメンバーの顔写真をクリックした後に、ムービープレイヤー風に再生されるという、特異な形式となっている。
TY66,肝臓への酸素供給は、肝動脈と、低圧系の門脈を介して、行われている。,肝臓への酸素供給は、肝動脈と、低圧系の門脈を介して、行われている。
TY67,デッドキーは、タイプライターや、コンピュータのキーボードにおける、特殊な装飾キーである。,デッドキーは、タイプライターや、コンピュータのキーボードにおける、特殊な装飾キーである。
TY68,シャンシャン馬は、鵜戸神宮へ参拝する、新婚夫婦が乗っていた馬のこと。,シャンシャン馬は、鵜戸神宮へ参拝する、新婚夫婦が乗っていた馬のこと。
TY69,ブルーリッジ山脈の源流から、リッチモンドまで、多くの早瀬や淵が、釣りや急流くだりを楽しませてくれる。,ブルーリッジ山脈の源流から、リッチモンドまで、多くの早瀬や淵が、釣りや急流くだりを楽しませてくれる。
TY70,ボーハンは、イーストマンら、ギャングのスピークイージーの上がりから、賄賂を取っていたとも噂された。,ボーハンは、イーストマンら、ギャングのスピークイージーの上がりから、賄賂を取っていたとも噂された。
TY71,ペンシルベニア州、フィラデルフィアの郊外、ウィンレッドのレンキナウ病院で生まれた。,ペンシルベニア州、フィラデルフィアの郊外、ウィンレッドのレンキナウ病院で生まれた。
TY72,ブラッグは、ビューエル軍よりも、劣勢だったために、この機会を生かすことを躊躇した。,ブラッグは、ビューエル軍よりも、劣勢だったために、この機会を生かすことを躊躇した。
TY73,上院議員として、バーンウェルは、カリフォルニア州の、連邦加入に賛成した。,上院議員として、バーンウェルは、カリフォルニア州の、連邦加入に賛成した。
TY74,レジェンドシリーズをベースに、ヨーフリー機構を備えた、ビューカメラ。,レジェンドシリーズをベースに、ヨーフリー機構を備えた、ビューカメラ。
TY75,楽曲のセンターポジションは、エーケービーフォーティーエイトの、高橋みなみが務めた。,楽曲のセンターポジションは、エーケービーフォーティーエイトの、高橋みなみが務めた。
TY76,ディオニューソスの、寵愛を受ける、オイネウス王と、妃、アルタイアーの間に、カリュドーンの王女として、生を受けた。,ディオニューソスの、寵愛を受ける、オイネウス王と、妃、アルタイアーの間に、カリュドーンの王女として、生を受けた。
TY77,大西洋上の、巡航高度から、動力なしで、地上へ滑空飛行し、緊急着陸に成功した。,大西洋上の、巡航高度から、動力なしで、地上へ滑空飛行し、緊急着陸に成功した。
TY78,表現行列の指標表を、分子の対称性を表す、点群の指標表を用いて、既約表現へ分解する。,表現行列の指標表を、分子の対称性を表す、点群の指標表を用いて、既約表現へ分解する。
TY79,大洋漁業オーナーの、中部謙吉の命を受けて、プロ野球球団の、大洋ホエールズに関わる。,大洋漁業オーナーの、中部謙吉の命を受けて、プロ野球球団の、大洋ホエールズに関わる。
TY80,かすかに聞こえてくる1931年版の讃美歌が、次第に大きくなっていく。,かすかに聞こえてくる1931年版の讃美歌が、次第に大きくなっていく。
TY81,モーイーデーン岩壁地域の上部は、プラーサートプラウィハーン寺院遺跡へ繋がる、タイ側参道に続いている。,モーイーデーン岩壁地域の上部は、プラーサートプラウィハーン寺院遺跡へ繋がる、タイ側参道に続いている。
TY82,カーミラ星と呼ばれている惑星から、宇宙船に乗って、地球に侵入した宇宙人。,カーミラ星と呼ばれている惑星から、宇宙船に乗って、地球に侵入した宇宙人。
TY83,ドッガーバンクは、タラやニシンの漁獲量が多い、重要な、漁場である。,ドッガーバンクは、タラやニシンの漁獲量が多い、重要な、漁場である。
TY84,少年時代は、ロシア帝国、チェルニーヒウ県、プルィルークィ郡、トロスチャヌィーツャ村で過ごした。,少年時代は、ロシア帝国、チェルニーヒウ県、プルィルークィ郡、トロスチャヌィーツャ村で過ごした。
TY85,遺灰のほとんどは、スウェーデン西海岸の、ブーヒュースレーン地方の小島にある漁村、フヤルバッカ周辺の海に、散骨された。,遺灰のほとんどは、スウェーデン西海岸の、ブーヒュースレーン地方の小島にある漁村、フヤルバッカ周辺の海に、散骨された。
TY86,国境を越えて、列車は、改良された在来線に沿って、アーヘン中央駅に向かう。,国境を越えて、列車は、改良された在来線に沿って、アーヘン中央駅に向かう。
TY87,福岡ダイエーホークスではなく、長距離砲の補強を目指していた、大阪近鉄バファローズから、オファーを受けて入団。,福岡ダイエーホークスではなく、長距離砲の補強を目指していた、大阪近鉄バファローズから、オファーを受けて入団。
TY88,そこには、百ドル札と、アメリカに来いという、短いメッセージだけだった。,そこには、百ドル札と、アメリカに来いという、短いメッセージだけだった。
TY89,現在は、バッハをモチーフとした、ハープシコードの作曲家として、記憶されている。,現在は、バッハをモチーフとした、ハープシコードの作曲家として、記憶されている。
TY90,戦闘服は、両腕を露出し、両脚が、アンダースーツで覆われている。,戦闘服は、両腕を露出し、両脚が、アンダースーツで覆われている。
TY91,同母姉に、スウェーデン王妃、ジョゼフィーヌがいる。,同母姉に、スウェーデン王妃、ジョゼフィーヌがいる。
TY92,紫外線は、表面エネルギーの、小さいポリマーを接着する際の、前処理に利用される。,紫外線は、表面エネルギーの、小さいポリマーを接着する際の、前処理に利用される。
TY93,自身のページで、メッセージや、公開コメントを通して、レビューを投稿したユーザーと、コミュニケーションを取ることが可能である。,自身のページで、メッセージや、公開コメントを通して、レビューを投稿したユーザーと、コミュニケーションを取ることが可能である。
TY94,若き日の反逆ゆえに、宇宙の中央を追放されて、惑星、地球にやってきた主人公、ベルゼバブが、宇宙船カルナークのなかで、孫に語る壮大な物語。,若き日の反逆ゆえに、宇宙の中央を追放されて、惑星、地球にやってきた主人公、ベルゼバブが、宇宙船カルナークのなかで、孫に語る壮大な物語。
TY95,ジャガーとは対照的に、ボディービルダーを髣髴とさせる、マッチョな体育会系の外見が特徴。,ジャガーとは対照的に、ボディービルダーを髣髴とさせる、マッチョな体育会系の外見が特徴。
TY96,ペンシルベニア州、ピッツバーグの、アレゲーニー高校を卒業し、カリフォルニア大学、バークレー校に入学。,ペンシルベニア州、ピッツバーグの、アレゲーニー高校を卒業し、カリフォルニア大学、バークレー校に入学。
TY97,この概念の導入によって、様々なバリエーションの、流体のコンピューターシミュレーションが、高い精度で可能となった。,この概念の導入によって、様々なバリエーションの、流体のコンピューターシミュレーションが、高い精度で可能となった。
TY98,乾ドックに入渠して、オーバーホールすべきかどうか、パフォーマンスがチェックされた。,乾ドックに入渠して、オーバーホールすべきかどうか、パフォーマンスがチェックされた。
TY99,デビューウェイトは、スーパーバンタム級ではなく、フェザー級だった。,デビューウェイトは、スーパーバンタム級ではなく、フェザー級だった。
TY100,アーリーは、降雨の中を、南のバージニア州、ウィンチェスター近くの、フィッシャーズヒルまで、軍を退いた。,アーリーは、降雨の中を、南のバージニア州、ウィンチェスター近くの、フィッシャーズヒルまで、軍を退いた。
